"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S08000016"," ",5,"SMR04"," ","100"," ","639.88"," ","70"," ","447.91"," ","20"," ","127.98"," "
"1997/98","S08000017"," ",1,"SMR04"," ","100"," ","805.22"," ","80"," ","644.17"," ","30"," ","241.57"," "
"1997/98","S08000017"," ",2,"SMR04"," ","220"," ","703.03"," ","140"," ","447.38"," ","60"," ","191.74"," "
"1997/98","S08000017"," ",3,"SMR04"," ","320"," ","520.23"," ","230"," ","373.92"," ","110"," ","178.83"," "
"1997/98","S08000017"," ",4,"SMR04"," ","160"," ","466.05"," ","120"," ","349.54"," ","40"," ","116.51"," "
"1997/98","S08000017"," ",5,"SMR04"," ","30"," ","334.6"," ","20"," ","223.06"," ","10"," ","111.53"," "
"1997/98","S08000029"," ",1,"SMR04"," ","420"," ","927.85"," ","260"," ","574.38"," ","70"," ","154.64"," "
"1997/98","S08000029"," ",2,"SMR04"," ","550"," ","684.64"," ","380"," ","473.03"," ","140"," ","174.27"," "
"1997/98","S08000029"," ",3,"SMR04"," ","430"," ","550.53"," ","300"," ","384.09"," ","130"," ","166.44"," "
"1997/98","S08000029"," ",4,"SMR04"," ","290"," ","389.11"," ","200"," ","268.35"," ","100"," ","134.18"," "
"1997/98","S08000029"," ",5,"SMR04"," ","190"," ","278.17"," ","140"," ","204.97"," ","60"," ","87.84"," "
"1997/98","S08000019"," ",1,"SMR04"," ","360"," ","910.79"," ","250"," ","632.5"," ","60"," ","151.8"," "
"1997/98","S08000019"," ",2,"SMR04"," ","480"," ","687.55"," ","300"," ","429.72"," ","90"," ","128.92"," "
"1997/98","S08000019"," ",3,"SMR04"," ","320"," ","559.51"," ","210"," ","367.18"," ","80"," ","139.88"," "
"1997/98","S08000019"," ",4,"SMR04"," ","240"," ","387.01"," ","160"," ","258.01"," ","100"," ","161.25"," "
"1997/98","S08000019"," ",5,"SMR04"," ","200"," ","421.91"," ","110"," ","232.05"," ","40"," ","84.38"," "
"1997/98","S08000020"," ",1,"SMR04"," ","180"," ","765.86"," ","120"," ","510.57"," ","40"," ","170.19"," "
"1997/98","S08000020"," ",2,"SMR04"," ","480"," ","764.59"," ","320"," ","509.72"," ","100"," ","159.29"," "
"1997/98","S08000020"," ",3,"SMR04"," ","610"," ","524.54"," ","440"," ","378.36"," ","120"," ","103.19"," "
"1997/98","S08000020"," ",4,"SMR04"," ","580"," ","375.61"," ","440"," ","284.95"," ","220"," ","142.47"," "
"1997/98","S08000020"," ",5,"SMR04"," ","510"," ","293.96"," ","380"," ","219.03"," ","140"," ","80.7"," "
"1997/98","S08000031"," ",1,"SMR04"," ","4940"," ","961.63"," ","3310"," ","644.33"," ","1150"," ","223.86"," "
"1997/98","S08000031"," ",2,"SMR04"," ","1490"," ","710.23"," ","1060"," ","505.27"," ","400"," ","190.67"," "
"1997/98","S08000031"," ",3,"SMR04"," ","790"," ","529.13"," ","560"," ","375.08"," ","210"," ","140.65"," "
"1997/98","S08000031"," ",4,"SMR04"," ","480"," ","338.46"," ","340"," ","239.74"," ","180"," ","126.92"," "
"1997/98","S08000031"," ",5,"SMR04"," ","580"," ","290.86"," ","400"," ","200.59"," ","160"," ","80.24"," "
"1997/98","S08000022"," ",1,"SMR04"," ","220"," ","1210.85"," ","160"," ","880.62"," ","30"," ","165.12"," "
"1997/98","S08000022"," ",2,"SMR04"," ","480"," ","729.96"," ","350"," ","532.26"," ","80"," ","121.66"," "
"1997/98","S08000022"," ",3,"SMR04"," ","600"," ","542.73"," ","440"," ","398"," ","120"," ","108.55"," "
"1997/98","S08000022"," ",4,"SMR04"," ","420"," ","585.61"," ","270"," ","376.46"," ","80"," ","111.54"," "
"1997/98","S08000022"," ",5,"SMR04"," ","120"," ","352.1"," ","90"," ","264.08"," ","20"," ","58.68"," "
"1997/98","S08000032"," ",1,"SMR04"," ","1220"," ","739.47"," ","890"," ","539.45"," ","310"," ","187.9"," "
"1997/98","S08000032"," ",2,"SMR04"," ","850"," ","576.54"," ","560"," ","379.84"," ","230"," ","156"," "
"1997/98","S08000032"," ",3,"SMR04"," ","460"," ","391.99"," ","340"," ","289.73"," ","150"," ","127.82"," "
"1997/98","S08000032"," ",4,"SMR04"," ","210"," ","282.16"," ","150"," ","201.54"," ","60"," ","80.62"," "
"1997/98","S08000032"," ",5,"SMR04"," ","120"," ","222.18"," ","90"," ","166.63"," ","30"," ","55.54"," "
